instruction,category,intent,urgency
"I'd like to register, what's the process? Looking fowrard to hearing back.",ACCOUNT,create_account,low
"Hi, is there a support email I can use?",CONTACT,contact_customer_service,low
how do i order this product?,ORDER,place_order,medium
Can I get a full refund if I'm not satisfied?,REFUND,check_refund_policy,high
"Could you help - I want to speak with a human agent, not a bot",CONTACT,contact_human_agent,low
Can I get a full refund if I'm not satisfied?,REFUND,check_refund_policy,high
How do I log into a secondary account?,ACCOUNT,switch_account,low
Could you help - I forgot my password and can't log in,ACCOUNT,recover_password,high
Can you reroute my package to a new address?,SHIPPING_ADDRESS,change_shipping_address,medium
I was charged twice for the same order! Thanks in advance.,PAYMENT,payment_issue,high
I want to create a new account on your platform,ACCOUNT,create_account,low
could you help - i want to create a new account on your platform,ACCOUNT,create_account,low
what shipping methods are available?,DELIVERY,delivery_options,medium
"Excuse me, how do I subscribe to your newsletter?",NEWSLETTER,newsletter_subscription,low
i need my money back for this defective product!,REFUND,get_refund,high
What's the typical delivery time to my country?,DELIVERY,delivery_period,medium
Qiuck question - I nede to use a different user profile,ACCOUNT,switch_account,low
I nede my money back for this defective product!,REFUND,get_refund,high
when can i expect my package? cheers.,DELIVERY,delivery_period,medium
"Good morning, how do I track my shipment?",ORDER,track_order,medium
"excuse me, i'm extremely unhappy with the service",FEEDBACK,complaint,high
can you email me a pdf invoice for order #5500?,INVOICE,get_invoice,medium
can you show me invoice number 8842?,INVOICE,check_invoice,medium
"I'd like to register, what's the process? Many thanks.",ACCOUNT,create_account,low
"This is unacceptable, I want to file a formla complaint! Please assist.",FEEDBACK,complaint,high
"Could you help - I'm having trouble paying, the page errors out",PAYMENT,payment_issue,high
could you help - i want to create a new account on your platform,ACCOUNT,create_account,low
"Hey there, I need to update the email on my profile",ACCOUNT,edit_account,low
How can I change account information?,ACCOUNT,edit_account,low
quick question - how do i contact your support team?,CONTACT,contact_customer_service,low
can you check on the status of my refund?,REFUND,track_refund,high
"Hi, sign me up for promotional emials",NEWSLETTER,newsletter_subscription,low
can you reroute my package to a new address?,SHIPPING_ADDRESS,change_shipping_address,medium
"Hey theer, what are my payment options at checkout?",PAYMENT,check_payment_methods,medium
"excuse me, i'm extremely unhappy with the service",FEEDBACK,complaint,high
"Good morning, how do I contact your support team?",CONTACT,contact_customer_service,low
I need an invoice for accounting. Cheers.,INVOICE,get_invoice,medium
"Hi team, can you help me modify my account settings?",ACCOUNT,edit_account,low
"hi, i need to look up an old invoice",INVOICE,check_invoice,medium
Can I have two accounts and switch between them? Please assist.,ACCOUNT,switch_account,low
"I'm ready to buy, what's nex?t",ORDER,place_order,medium
do you take apple pay or only credit carsd? many thanks.,PAYMENT,check_payment_methods,medium
i was charged twice for the same order! thanks!,PAYMENT,payment_issue,high
Can you help me open a csutomer account? Looking forward to hearing back.,ACCOUNT,create_account,low
"hello, cancel my order asap, i ordered the wrong item",CANCEL,cancel_order,high
"I need to my password, please help. I'd appreciate a quick reply.",ACCOUNT,recover_password,high
can i have two accounts and switch between the?m thanks!,ACCOUNT,switch_account,low
i was charged twice for the same order!,PAYMENT,payment_issue,high
"hi, i'm trying to find a copy of my invoice",INVOICE,check_invoice,medium
do you offer express delivery? i'm in a hurry.,DELIVERY,delivery_options,medium
"Hello, I want to lodge a complaint about the recent experience",FEEDBACK,complaint,high
I have a question: how long wlil my order take to arrive?,DELIVERY,delivery_period,medium
"I'd like to register, what's the process?",ACCOUNT,create_account,low
What's the typical delivery time to my country?,DELIVERY,delivery_period,medium
"excuse me, i want to speak with a human agent, not a bot",CONTACT,contact_human_agent,low
where can i view my past invoices? many thanks.,INVOICE,check_invoice,medium
"good morning, when will my refund be processed?",REFUND,track_refund,high
How do I order this product? Thanks in advance.,ORDER,place_order,medium
Can you chekc on the status of my refund?,REFUND,track_refund,high
"i'm ready to buy, what's next?",ORDER,place_order,medium
"Hi team, the passwrod reset email never arrived",ACCOUNT,recover_password,high
how many days do i have to return an item? many thanks.,REFUND,check_refund_policy,high
can i set up multiple addresses on my profile? looking forward to hearing back.,SHIPPING_ADDRESS,set_up_shipping_address,medium
Please connect me to a real person. Pelase assist.,CONTACT,contact_human_agent,low
"hi team, how do i track my shipment?",ORDER,track_order,medium
"excuse me, what is your refund policy?",REFUND,check_refund_policy,high
Quick question - the password reset email never arrived,ACCOUNT,recover_password,high
When can I expect my package? Please assist.,DELIVERY,delivery_period,medium
"Hey there, I want to get a refund for my purchase",REFUND,get_refund,high
"excuse me, what is your refund policy?",REFUND,check_refund_policy,high
"Please refund order #3300, the item arrived brkoen.",REFUND,get_refund,high
Quick question - how do I request a refund?,REFUND,get_refund,high
can you help me complete my purchase?,ORDER,place_order,medium
"I need to reset my password, please",ACCOUNT,recover_password,high
"Hi team, I forgto my password and can't log in",ACCOUNT,recover_password,high
"Hi team, please send me the invoice for my recent order",INVOICE,get_invoice,medium
I need to look up an old invoice,INVOICE,check_invoice,medium
Why can't I create my account? It says invalid input.,ACCOUNT,registration_problems,low
can you reroute my package to a new address?,SHIPPING_ADDRESS,change_shipping_address,medium
I need to talk to someone about my order. Thanks in advance.,CONTACT,contact_customer_service,low
"Hey there, I'm still waiting for my refund, where is it?",REFUND,track_refund,high
it's been 10 days and no refund yet. many thanks.,REFUND,track_refund,high
I forgot my password and can't log in,ACCOUNT,recover_password,high
what is your refund policy?,REFUND,check_refund_policy,high
Quick question - how can I sign up for an account?,ACCOUNT,create_account,low
"hi, please send me the invoice for my recent order",INVOICE,get_invoice,medium
could you help - estimated delivery for standard shipping?,DELIVERY,delivery_period,medium
"Good morning, I'm getting an error when trying to register",ACCOUNT,registration_problems,low
"Quick question - I'm having troulbe paying, the page errors out",PAYMENT,payment_issue,high
"hi team, i need to use a different user profile",ACCOUNT,switch_account,low
"Hello, I'd like to place a new order",ORDER,place_order,medium
"excuse me, can you help me complete my purchase?",ORDER,place_order,medium
can you help me modify my account settings?,ACCOUNT,edit_account,low
"hello, i forgot my password and can't log in",ACCOUNT,recover_password,high
how do i track my shipment?,ORDER,track_order,medium
"Could you help - cancel my order asap, I ordered the wrong item",CANCEL,cancel_order,high
"I'd like to register, the process?",ACCOUNT,create_account,low
I have a quetsion: what are my payment options at checkout?,PAYMENT,check_payment_methods,medium
"Good morning, how do I track my shipment?",ORDER,track_order,medium
"hey there, what shipping methosd are available?",DELIVERY,delivery_options,medium
Can I get a full refund if I'm not satisfied?,REFUND,check_refund_policy,high
can you help me open a customer account? many thanks.,ACCOUNT,create_account,low
"Hi team, please send me the invoice for my recent order",INVOICE,get_invoice,medium
"Excuse me, what are my delivery options for this order?",DELIVERY,delivery_options,medium
Why can't I create my account? It says invalid input.,ACCOUNT,registration_problems,low
"This is unacceptable, I want to file a formal complaint! I'd appreciate a quick reply.",FEEDBACK,complaint,high
"excuse me, where is my order? it hasn't arirved yet",ORDER,track_order,medium
"Hi, how do I track my shipment?",ORDER,track_order,medium
"Hi team, I'm getting an error when trying to register",ACCOUNT,registration_problems,low
I'd like to receive your weekly emails.,NEWSLETTER,newsletter_subscription,low
"help, the payment failed but money was deductde!",PAYMENT,payment_issue,high
"hello, i'm getting an errro when tyring to register",ACCOUNT,registration_problems,low
The signup form keeps rejecting my email. Thanks in advance.,ACCOUNT,registration_problems,low
my payment was decliend but my card is fine,PAYMENT,payment_issue,high
"hey there, cancel my order asap, i ordered the wrong item",CANCEL,cancel_order,high
I'd like to place a new order,ORDER,place_order,medium
Your support has been awful and I'm furious abotu it,FEEDBACK,complaint,high
How many days do I have to return an item? in advance.,REFUND,check_refund_policy,high
Can you help me open a customer account? Please assist.,ACCOUNT,create_account,low
Could you help - how do I track my shipment?,ORDER,track_order,medium
I'd like to edit my personal details. Looking forward to hearing back.,ACCOUNT,edit_account,low
"Please refund order #3300, the item arrived broke.n This is urgent.",REFUND,get_refund,high
i have a question: where is my order? it hasn't arrived yet,ORDER,track_order,medium
I hvae a question: I want to update the quantity in my order,ORDER,change_order,medium
How do I log into a secondary acconut?,ACCOUNT,switch_account,low
Quick question - I need to update the email on my profile,ACCOUNT,edit_account,low
"Locked out of my account, password recovery isn't working!",ACCOUNT,recover_password,high
Please connect me to a real person.,CONTACT,contact_human_agent,low
"Hey there, I need to look up an old invoice",INVOICE,check_invoice,medium
I'd like to receive your weekly emails.,NEWSLETTER,newsletter_subscription,low
"Hi, can you help me complete my purchase?",ORDER,place_order,medium
can you help me open a customer account?,ACCOUNT,create_account,low
"Excuse me, what is your refund policy?",REFUND,check_refund_policy,high
why can't i create my account? it sasy invalid input.,ACCOUNT,registration_problems,low
How do I order this product?,ORDER,place_order,medium
"Good morning, I need a human agent right now",CONTACT,contact_human_agent,low
I haev a question: adding a new address before my next order,SHIPPING_ADDRESS,set_up_shipping_address,medium
"Hello, which payment methods do you accept?",PAYMENT,check_payment_methods,medium
"Hi, sign me up for promotional emails",NEWSLETTER,newsletter_subscription,low
"Exucse me, do offer money-back guarantees?",REFUND,check_refund_policy,high
i have a question: do you offer mnoey-back guarantees?,REFUND,check_refund_policy,high
can you reroute my package to a new address?,SHIPPING_ADDRESS,change_shipping_address,medium
"Hey there, how do I edit the delivery address?",SHIPPING_ADDRESS,change_shipping_address,medium
Can I add another item to order #4422? Please assist.,ORDER,change_order,medium
Please cancel order #1234 before it ships. This is urgent.,CANCEL,cancel_order,high
Wehre do I post a produtc review? This is urgent.,FEEDBACK,review,low
i'd like to receive your weekly emails. thanks!,NEWSLETTER,newsletter_subscription,low
Can you reroute my package to a new address?,SHIPPING_ADDRESS,change_shipping_address,medium
Quick question - what are my payment options at checkout?,PAYMENT,check_payment_methods,medium
Quick question - I'd like to download an invoice,INVOICE,get_invoice,medium
Could you hlep - how do I request a refund?,REFUND,get_refund,high
Could you help - I need to modify my existing order,ORDER,change_order,medium
I need an invoice for accounting. This is urgent.,INVOICE,get_invoice,medium
The signup form keeps rejecting my email. Please assist.,ACCOUNT,registration_problems,low
Can you reroute my package to a new address?,SHIPPING_ADDRESS,change_shipping_address,medium
"Good morning, I need to change the shipping address on my order",SHIPPING_ADDRESS,change_shipping_address,medium
"Help, the payment failed but money was deducted!",PAYMENT,payment_issue,high
"hi, i want to create a new account on your platform",ACCOUNT,create_account,low
Quick question - I'm getting an error when trying to register,ACCOUNT,registration_problems,low
"hi, i need a human agent right now",CONTACT,contact_human_agent,low
it's bene 10 days and no refund yet. thanks!,REFUND,track_refund,high
Can you tell me the status of order #9001?,ORDER,track_order,medium
"Hey there, I'm getting an error when trying to register",ACCOUNT,registration_problems,low
When can I expect my package? Please assist.,DELIVERY,delivery_period,medium
What's the typical delivery time to my country?,DELIVERY,delivery_period,medium
"Good morning, how do I edit the delivery address?",SHIPPING_ADDRESS,change_shipping_address,medium
i need an invoice for accounting. thanks!,INVOICE,get_invoice,medium
i need to cancel my order immediately,CANCEL,cancel_order,high
"I need to reset my password, please help. This is urgent.",ACCOUNT,recover_password,high
"Locked out of my account, password recovery working!",ACCOUNT,recover_password,high
I have a question: I'd like to place a new order,ORDER,place_order,medium
"excuse me, i want to switch to a different account",ACCOUNT,switch_account,low
I was charged twice for the same order! Looking forward to hearing back.,PAYMENT,payment_issue,high
"Excuse me, I'm still waiting for rfeund, where is it?",REFUND,track_refund,high
"Excuse me, do you offer money-back guarantees?",REFUND,check_refund_policy,high
I'd like to share my feedback on a recent purchase,FEEDBACK,review,low
Could you help - I want to update the quantity in my order,ORDER,change_order,medium
can you email me a pdf invoice for order #5500?,INVOICE,get_invoice,medium
"Hi team, estimated delivery for standard shipping?",DELIVERY,delivery_period,medium
"hi team, where is my order? it hasn't arrived yet",ORDER,track_order,medium
I was charged twice for the same order! Please assist.,PAYMENT,payment_issue,high
"hey there, how do i subscribe to your newlsetter?",NEWSLETTER,newsletter_subscription,low
The signup form kepes rejecting my email.,ACCOUNT,registration_problems,low
Can you tlel me the status of order #9001?,ORDER,track_order,medium
I need to look up an old invoice,INVOICE,check_invoice,medium
"I'm reday to buy, what's next?",ORDER,place_order,medium
How do I order thsi product?,ORDER,place_order,medium
"Hey there, wehre is my order? It hasn't arrived yet",ORDER,track_order,medium
"excuse me, i want to delete my account permanently",ACCOUNT,delete_account,high
"good morinng, how do i track my shipment?",ORDER,track_order,medium
"could you help - i'm having trouble paying, the page errors out",PAYMENT,payment_issue,high
The signup form keeps rejecting my eamil. Thanks in advance.,ACCOUNT,registration_problems,low
Can I unsubscribe from the newsletetr please?,NEWSLETTER,newsletter_subscription,low
can i set up multiple addresses on my profile? this is urgent.,SHIPPING_ADDRESS,set_up_shipping_address,medium
Can a live representative help me? The chatbot isn't enough.,CONTACT,contact_human_agent,low
colud you help - how do i request a refund?,REFUND,get_refund,high
How do I order this product? I'd appreciate a quick reply.,ORDER,place_order,medium
"Hey theer, how can I leave a review for the product I bought?",FEEDBACK,review,low
tracking number says delivered but i never got it. please assist.,ORDER,track_order,medium
please change the size on my recent order before it ships,ORDER,change_order,medium
want to save a second address for deliveries,SHIPPING_ADDRESS,set_up_shipping_address,medium
"Excuse me, I need my account deleted right away",ACCOUNT,delete_account,high
"Good morning, which payment methods do you accept?",PAYMENT,check_payment_methods,medium
Can you help me open a customer account?,ACCOUNT,create_account,low
How can I change my account information?,ACCOUNT,edit_account,low
Do you take Apple Pay or only credit cards? Looking forward to hearing back.,PAYMENT,check_payment_methods,medium
I need an invoice for accounting. Thanks!,INVOICE,get_invoice,medium
"Ecxuse me, I'm having trouble paying, the page errors out",PAYMENT,payment_issue,high
"Hey there, I want to get a refund for my purchase",REFUND,get_refund,high
Can I set up multiple addresses on my profile? Tahnks!,SHIPPING_ADDRESS,set_up_shipping_address,medium
"hi team, i need to cancel my order immediately",CANCEL,cancel_order,high
"hi, can you help me modify my account settings?",ACCOUNT,edit_account,low
where can i view my past invoices? cheers.,INVOICE,check_invoice,medium
"Could you help - I want to spaek with a human agent, not a bot",CONTACT,contact_human_agent,low
"hi team, i'm getting an error when trying to register",ACCOUNT,registration_problems,low
Where can I view my past invoices? This is urgent.,INVOICE,check_invoice,medium
can i unsubscribe from the newsletter please?,NEWSLETTER,newsletter_subscription,low
It's been 10 days and no refund yet. Many thanks.,REFUND,track_refund,high
I watn to save a secnod address for dleiveries,SHIPPING_ADDRESS,set_up_shipping_address,medium
Could you help - what is your refund policy?,REFUND,check_refund_policy,high
How can I change my account informatoin?,ACCOUNT,edit_account,low
I have a question: I want to get a refund for my purchase,REFUND,get_refund,high
"Hi, can you help me modify my account settings?",ACCOUNT,edit_account,low
Can you show me inovice number 8842?,INVOICE,check_invoice,medium
"Good morning, can you help me my account settings?",ACCOUNT,edit_account,low
Can I unsubscribe from the newsletter please?,NEWSLETTER,newsletter_subscription,low
Can you show me invoice number 8842?,INVOICE,check_invoice,medium
Can you check on the status of my refund?,REFUND,track_refund,high
"hi, i want to write a review of my experience",FEEDBACK,review,low
What is your customer service phone number?,CONTACT,contact_customer_service,low
"hi tea,m i need to cancel my order immediately",CANCEL,cancel_order,high
Can reroute my package to a new address?,SHIPPING_ADDRESS,change_shipping_address,medium
I need to change the shipping address on my order,SHIPPING_ADDRESS,change_shipping_address,medium
"quick question - cancel my order asap, i ordered the wrong item",CANCEL,cancel_order,high
"Good morning, how do I request a refnud?",REFUND,get_refund,high
"Hi team, how can I leaev a review for the product I bought?",FEEDBACK,review,low
i need to modify my existing order,ORDER,change_order,medium
Where can I view my psat invoices?,INVOICE,check_invoice,medium
I have a question: I want to update the quantity in my order,ORDER,change_order,medium
"Hi, estimated delivery for standard shipping?",DELIVERY,delivery_period,medium
Quick question - where is my order? It hasn't arrived yet,ORDER,track_order,medium
"Hi team, I need to look up an old invoice",INVOICE,check_invoice,medium
i'd like to share my feedback on a recent purchase,FEEDBACK,review,low
"Help, the payment failed but money was deductde!",PAYMENT,payment_issue,high
"quick question - cancel my order asap, i ordered the wrnog item",CANCEL,cancel_order,high
"Hell,o is there a supoprt email I can use?",CONTACT,contact_customer_service,low
"Good morning, I'd like to plaec a new order",ORDER,place_order,medium
How do I order this product? Thanks!,ORDER,place_order,medium
"Hlelo, I want to lodge a complaint about the recent experience",FEEDBACK,complaint,high
how many days do i have to return an item? looking forward to hearing back.,REFUND,check_refund_policy,high
"Hi team, how can I leave a review for the product I bought?",FEEDBACK,review,low
Can you email me a PDF invoice for order #5500?,INVOICE,get_invoice,medium
what's the typical delivery time to my country?,DELIVERY,delivery_period,medium
Where can I view my past invoices?,INVOICE,check_invoice,medium
What is your customer service phone number?,CONTACT,contact_customer_service,low
"Hello, I'm still waiting for my refund, where is it?",REFUND,track_refund,high
Can I choose same-day shipping? Looking forward to hearing back.,DELIVERY,delivery_options,medium
Could you help - I want to update the quantity in my order,ORDER,change_order,medium
"Help, the payment failed but money was deducted!",PAYMENT,payment_issue,high
I need my money back for this defective product!,REFUND,get_refund,high
tracking number says delivered but i never got it. thanks in advance.,ORDER,track_order,medium
"Hi, I'm trying to find a copy of my invoice",INVOICE,check_invoice,medium
Can I add another item to order #4422? Looking forward to hearing back.,ORDER,change_order,medium
Can you check on status of my refund?,REFUND,track_refund,high
i want to save a second address for deliveries,SHIPPING_ADDRESS,set_up_shipping_address,medium
"Quick question - I want to speak with a human agent, not a bot",CONTACT,contact_human_agent,low
i have a question: adding a new address before my nxet order,SHIPPING_ADDRESS,set_up_shipping_address,medium
Can you reroute my package a new address?,SHIPPING_ADDRESS,change_shipping_address,medium
Could you help - how do I edit the delievry address?,SHIPPING_ADDRESS,change_shipping_address,medium
could you help - i want to write a review of my experience,FEEDBACK,review,low
"Hi team, I want to get a rfeund for my purchase",REFUND,get_refund,high
"hi team, how do i track my shipment?",ORDER,track_order,medium
Can I pay with PayPal? Is bank transfer an option?,PAYMENT,check_payment_methods,medium
"Excuse me, sign me up for promotional emails",NEWSLETTER,newsletter_subscription,low
quick quetsion - i want to update the quantity in my order,ORDER,change_order,medium
"i changed my mind, can i cancel my recent purchase?",CANCEL,cancel_order,high
"Excuse me, I want to speak with a human agent, not a bot",CONTACT,contact_human_agent,low
I have a question: I need to modify my existing order,ORDER,change_order,medium
i'd like to receive your weekly emails. thakns!,NEWSLETTER,newsletter_subscription,low
how many days do i have to rteurn an item?,REFUND,check_refund_policy,high
do you offer express delivery? i'm in a hurry.,DELIVERY,delivery_options,medium
"quick question - i'm still waiting for my refund, wehre is it?",REFUND,track_refund,high
can you reroute my package to a new address?,SHIPPING_ADDRESS,change_shipping_address,medium
Can you tell me the status of order #9001?,ORDER,track_order,medium
"Good morning, I need a human agent right now",CONTACT,contact_human_agent,low
Can I pay with PayPal? Is bank transfer an option?,PAYMENT,check_payment_methods,medium
When can I expect my package? Thanks in advance.,DELIVERY,delivery_period,medium
"hey there, i forgot my password and can't log in",ACCOUNT,recover_password,high
"Hi, I need to use a different user profile",ACCOUNT,switch_account,low
when can i expect my package? many thakns.,DELIVERY,delivery_period,medium
"Excuse me, I'm having trouble paying, the page errors out",PAYMENT,payment_issue,high
I was charged twice for the same order! Many thanks.,PAYMENT,payment_issue,high
Could you help - I'd like to place a new order,ORDER,place_order,medium
"hi team, when will my refund be processed?",REFUND,track_refund,high
please remove my account from your system. cheers.,ACCOUNT,delete_account,high
What is your customer service phone number?,CONTACT,contact_customer_service,low
"Hey there, adding a new address before my next order",SHIPPING_ADDRESS,set_up_shipping_address,medium
Please remoev my account from your system. Looking forward to hearing back.,ACCOUNT,delete_account,high
"Excuse me, when will my reufnd be processed?",REFUND,track_refund,high
Can a live representative help me? The chatbot isn't enough.,CONTACT,contact_human_agent,low
"Hi team, sign me up for promotional emails",NEWSLETTER,newsletter_subscription,low
"Help, the payment failed but money was deducted!",PAYMENT,payment_issue,high
Please connect me to a real person. Looking forward to hearing back.,CONTACT,contact_human_agent,low
"Help, the payment failed but money was deducted!",PAYMENT,payment_issue,high
your support has been awful and i'm furious about it,FEEDBACK,complaint,high
i was charged twice for the same order! thanks in advance.,PAYMENT,payment_issue,high
"hi, please send me the invoice for my recent order",INVOICE,get_invoice,medium
Could you hepl - estimated delivery for standard shipping?,DELIVERY,delivery_period,medium
"hi team, i want to write a review of my expeirence",FEEDBACK,review,low
I want to save a seocnd address for deliveries,SHIPPING_ADDRESS,set_up_shipping_address,medium
"Hey there, what are my delivery options for this order?",DELIVERY,delivery_options,medium
I want to save a second address for deliveries,SHIPPING_ADDRESS,set_up_shipping_address,medium
Can you show invoice number 8842?,INVOICE,check_invoice,medium
"excuse me, i'm still waiting for my refund, where is it?",REFUND,track_refund,high
could you hlep - adding a new address before my next order,SHIPPING_ADDRESS,set_up_shipping_address,medium
"Hi, is there a support email I can use?",CONTACT,contact_customer_service,low
Can you emali me a PDF invoice for order #5500?,INVOICE,get_invoice,medium
Can you help me open a customer account? Cheers.,ACCOUNT,create_account,low
your support has been awful and i'm fruious about it,FEEDBACK,complaint,high
"hey there, how do i request a refund?",REFUND,get_refund,high
"Hey there, I need to modify my existing order",ORDER,change_order,medium
"hi team, cancel my order asap, i ordered the wrogn item",CANCEL,cancel_order,high
I have a question: how can I leave a review for the product I bought?,FEEDBACK,review,low
"locked out of my acocunt, password recovery isn't working!",ACCOUNT,recover_password,high
"Hey there, I forgot my password and can't log in",ACCOUNT,recover_password,high
Please remove my account form your system. Looking forward to hearing back.,ACCOUNT,delete_account,high
"hey there, the password reset email never arrived",ACCOUNT,recover_password,high
Quick question - I need to use a different user profile,ACCOUNT,switch_account,low
"Excuse me, I need to use a different user profile",ACCOUNT,switch_account,low
i'd like to edit my personal details. plaese assist.,ACCOUNT,edit_account,low
What's the typical delivery time to my country?,DELIVERY,delivery_period,medium
"Hello, when will my refund be processed?",REFUND,track_refund,high
Can you email me a PDF invoice for order #5500?,INVOICE,get_invoice,medium
why can't i create my account? it says invalid input.,ACCOUNT,registration_problems,low
"excuse me, how do i requset a refund?",REFUND,get_refund,high
"This is unacceptable, I want to file a formal complaint! This is urgent.",FEEDBACK,complaint,high
How do I order this product? Looking forward to hearing back.,ORDER,place_order,medium
"good morning, can you help me complete my purchase?",ORDER,place_order,medium
I have a question: what is your refund policy?,REFUND,check_refund_policy,high
"Hello, how do I edit the delivery address?",SHIPPING_ADDRESS,change_shipping_address,medium
