instruction,category,intent
"Good morning, how do I add a new shipping address to my account?",SHIPPING_ADDRESS,set_up_shipping_address
"Hey there, I wnat to speak with a human agent, not a bot",CONTACT,contact_human_agent
tracking number says delivered but i never got it. thanks in advance.,ORDER,track_order
"i need to reset my password, please help. please assist.",ACCOUNT,recover_password
do I order this product?,ORDER,place_order
"Hi, can you help me complete my purchase?",ORDER,place_order
How do I close my account? I no longer want to use the service.,ACCOUNT,delete_account
how many days do i have to return an item? thanks in advance.,REFUND,check_refund_policy
I need to talk to someone about my order.,CONTACT,contact_customer_service
"Excuse me, I'd like to place a new order",ORDER,place_order
do you offer express delivery? i'm in a hurry.,DELIVERY,delivery_options
"Wrong address on my order, please update it! Many thanks.",SHIPPING_ADDRESS,change_shipping_address
Please remove my account from your system. I'd appreciate a quick reply.,ACCOUNT,delete_account
quick question - when will my refund be processed?,REFUND,track_refund
How can I chaneg my account information?,ACCOUNT,edit_account
can you tell me the status of order #9001?,ORDER,track_order
"hey there, what are my delivery options for this order?",DELIVERY,delivery_options
i a question: i need to look up an old invoice,INVOICE,check_invoice
"I'd like to register, what's the process? Looking fowrard to hearing back.",ACCOUNT,create_account
"Hi, is there a support email I can use?",CONTACT,contact_customer_service
how do i order this product?,ORDER,place_order
Can I get a full refund if I'm not satisfied?,REFUND,check_refund_policy
"Could you help - I want to speak with a human agent, not a bot",CONTACT,contact_human_agent
Can I get a full refund if I'm not satisfied?,REFUND,check_refund_policy
How do I log into a secondary account?,ACCOUNT,switch_account
Could you help - I forgot my password and can't log in,ACCOUNT,recover_password
Can you reroute my package to a new address?,SHIPPING_ADDRESS,change_shipping_address
I was charged twice for the same order! Thanks in advance.,PAYMENT,payment_issue
I want to create a new account on your platform,ACCOUNT,create_account
could you help - i want to create a new account on your platform,ACCOUNT,create_account
what shipping methods are available?,DELIVERY,delivery_options
"Excuse me, how do I subscribe to your newsletter?",NEWSLETTER,newsletter_subscription
i need my money back for this defective product!,REFUND,get_refund
What's the typical delivery time to my country?,DELIVERY,delivery_period
Qiuck question - I nede to use a different user profile,ACCOUNT,switch_account
I nede my money back for this defective product!,REFUND,get_refund
when can i expect my package? cheers.,DELIVERY,delivery_period
"Good morning, how do I track my shipment?",ORDER,track_order
"excuse me, i'm extremely unhappy with the service",FEEDBACK,complaint
can you email me a pdf invoice for order #5500?,INVOICE,get_invoice
can you show me invoice number 8842?,INVOICE,check_invoice
"I'd like to register, what's the process? Many thanks.",ACCOUNT,create_account
"This is unacceptable, I want to file a formla complaint! Please assist.",FEEDBACK,complaint
"Could you help - I'm having trouble paying, the page errors out",PAYMENT,payment_issue
could you help - i want to create a new account on your platform,ACCOUNT,create_account
"Hey there, I need to update the email on my profile",ACCOUNT,edit_account
How can I change account information?,ACCOUNT,edit_account
quick question - how do i contact your support team?,CONTACT,contact_customer_service
can you check on the status of my refund?,REFUND,track_refund
"Hi, sign me up for promotional emials",NEWSLETTER,newsletter_subscription
can you reroute my package to a new address?,SHIPPING_ADDRESS,change_shipping_address
"Hey theer, what are my payment options at checkout?",PAYMENT,check_payment_methods
"excuse me, i'm extremely unhappy with the service",FEEDBACK,complaint
"Good morning, how do I contact your support team?",CONTACT,contact_customer_service
I need an invoice for accounting. Cheers.,INVOICE,get_invoice
"Hi team, can you help me modify my account settings?",ACCOUNT,edit_account
"hi, i need to look up an old invoice",INVOICE,check_invoice
Can I have two accounts and switch between them? Please assist.,ACCOUNT,switch_account
"I'm ready to buy, what's nex?t",ORDER,place_order
do you take apple pay or only credit carsd? many thanks.,PAYMENT,check_payment_methods
i was charged twice for the same order! thanks!,PAYMENT,payment_issue
Can you help me open a csutomer account? Looking forward to hearing back.,ACCOUNT,create_account
"hello, cancel my order asap, i ordered the wrong item",CANCEL,cancel_order
"I need to my password, please help. I'd appreciate a quick reply.",ACCOUNT,recover_password
can i have two accounts and switch between the?m thanks!,ACCOUNT,switch_account
i was charged twice for the same order!,PAYMENT,payment_issue
"hi, i'm trying to find a copy of my invoice",INVOICE,check_invoice
do you offer express delivery? i'm in a hurry.,DELIVERY,delivery_options
"Hello, I want to lodge a complaint about the recent experience",FEEDBACK,complaint
I have a question: how long wlil my order take to arrive?,DELIVERY,delivery_period
"I'd like to register, what's the process?",ACCOUNT,create_account
What's the typical delivery time to my country?,DELIVERY,delivery_period
"excuse me, i want to speak with a human agent, not a bot",CONTACT,contact_human_agent
where can i view my past invoices? many thanks.,INVOICE,check_invoice
"good morning, when will my refund be processed?",REFUND,track_refund
How do I order this product? Thanks in advance.,ORDER,place_order
Can you chekc on the status of my refund?,REFUND,track_refund
"i'm ready to buy, what's next?",ORDER,place_order
"Hi team, the passwrod reset email never arrived",ACCOUNT,recover_password
how many days do i have to return an item? many thanks.,REFUND,check_refund_policy
can i set up multiple addresses on my profile? looking forward to hearing back.,SHIPPING_ADDRESS,set_up_shipping_address
Please connect me to a real person. Pelase assist.,CONTACT,contact_human_agent
"hi team, how do i track my shipment?",ORDER,track_order
"excuse me, what is your refund policy?",REFUND,check_refund_policy
Quick question - the password reset email never arrived,ACCOUNT,recover_password
When can I expect my package? Please assist.,DELIVERY,delivery_period
"Hey there, I want to get a refund for my purchase",REFUND,get_refund
"excuse me, what is your refund policy?",REFUND,check_refund_policy
"Please refund order #3300, the item arrived brkoen.",REFUND,get_refund
Quick question - how do I request a refund?,REFUND,get_refund
can you help me complete my purchase?,ORDER,place_order
"I need to reset my password, please",ACCOUNT,recover_password
"Hi team, I forgto my password and can't log in",ACCOUNT,recover_password
"Hi team, please send me the invoice for my recent order",INVOICE,get_invoice
I need to look up an old invoice,INVOICE,check_invoice
Why can't I create my account? It says invalid input.,ACCOUNT,registration_problems
can you reroute my package to a new address?,SHIPPING_ADDRESS,change_shipping_address
I need to talk to someone about my order. Thanks in advance.,CONTACT,contact_customer_service
"Hey there, I'm still waiting for my refund, where is it?",REFUND,track_refund
it's been 10 days and no refund yet. many thanks.,REFUND,track_refund
I forgot my password and can't log in,ACCOUNT,recover_password
what is your refund policy?,REFUND,check_refund_policy
Quick question - how can I sign up for an account?,ACCOUNT,create_account
"hi, please send me the invoice for my recent order",INVOICE,get_invoice
could you help - estimated delivery for standard shipping?,DELIVERY,delivery_period
"Good morning, I'm getting an error when trying to register",ACCOUNT,registration_problems
"Quick question - I'm having troulbe paying, the page errors out",PAYMENT,payment_issue
"hi team, i need to use a different user profile",ACCOUNT,switch_account
"Hello, I'd like to place a new order",ORDER,place_order
"excuse me, can you help me complete my purchase?",ORDER,place_order
can you help me modify my account settings?,ACCOUNT,edit_account
"hello, i forgot my password and can't log in",ACCOUNT,recover_password
how do i track my shipment?,ORDER,track_order
"Could you help - cancel my order asap, I ordered the wrong item",CANCEL,cancel_order
"I'd like to register, the process?",ACCOUNT,create_account
I have a quetsion: what are my payment options at checkout?,PAYMENT,check_payment_methods
"Good morning, how do I track my shipment?",ORDER,track_order
"hey there, what shipping methosd are available?",DELIVERY,delivery_options
Can I get a full refund if I'm not satisfied?,REFUND,check_refund_policy
can you help me open a customer account? many thanks.,ACCOUNT,create_account
"Hi team, please send me the invoice for my recent order",INVOICE,get_invoice
"Excuse me, what are my delivery options for this order?",DELIVERY,delivery_options
Why can't I create my account? It says invalid input.,ACCOUNT,registration_problems
"This is unacceptable, I want to file a formal complaint! I'd appreciate a quick reply.",FEEDBACK,complaint
"excuse me, where is my order? it hasn't arirved yet",ORDER,track_order
"Hi, how do I track my shipment?",ORDER,track_order
"Hi team, I'm getting an error when trying to register",ACCOUNT,registration_problems
I'd like to receive your weekly emails.,NEWSLETTER,newsletter_subscription
"help, the payment failed but money was deductde!",PAYMENT,payment_issue
"hello, i'm getting an errro when tyring to register",ACCOUNT,registration_problems
The signup form keeps rejecting my email. Thanks in advance.,ACCOUNT,registration_problems
my payment was decliend but my card is fine,PAYMENT,payment_issue
"hey there, cancel my order asap, i ordered the wrong item",CANCEL,cancel_order
I'd like to place a new order,ORDER,place_order
Your support has been awful and I'm furious abotu it,FEEDBACK,complaint
How many days do I have to return an item? in advance.,REFUND,check_refund_policy
Can you help me open a customer account? Please assist.,ACCOUNT,create_account
Could you help - how do I track my shipment?,ORDER,track_order
I'd like to edit my personal details. Looking forward to hearing back.,ACCOUNT,edit_account
"Please refund order #3300, the item arrived broke.n This is urgent.",REFUND,get_refund
i have a question: where is my order? it hasn't arrived yet,ORDER,track_order
I hvae a question: I want to update the quantity in my order,ORDER,change_order
How do I log into a secondary acconut?,ACCOUNT,switch_account
Quick question - I need to update the email on my profile,ACCOUNT,edit_account
"Locked out of my account, password recovery isn't working!",ACCOUNT,recover_password
Please connect me to a real person.,CONTACT,contact_human_agent
"Hey there, I need to look up an old invoice",INVOICE,check_invoice
I'd like to receive your weekly emails.,NEWSLETTER,newsletter_subscription
"Hi, can you help me complete my purchase?",ORDER,place_order
can you help me open a customer account?,ACCOUNT,create_account
"Excuse me, what is your refund policy?",REFUND,check_refund_policy
why can't i create my account? it sasy invalid input.,ACCOUNT,registration_problems
How do I order this product?,ORDER,place_order
"Good morning, I need a human agent right now",CONTACT,contact_human_agent
I haev a question: adding a new address before my next order,SHIPPING_ADDRESS,set_up_shipping_address
"Hello, which payment methods do you accept?",PAYMENT,check_payment_methods
"Hi, sign me up for promotional emails",NEWSLETTER,newsletter_subscription
"Exucse me, do offer money-back guarantees?",REFUND,check_refund_policy
i have a question: do you offer mnoey-back guarantees?,REFUND,check_refund_policy
can you reroute my package to a new address?,SHIPPING_ADDRESS,change_shipping_address
"Hey there, how do I edit the delivery address?",SHIPPING_ADDRESS,change_shipping_address
Can I add another item to order #4422? Please assist.,ORDER,change_order
Please cancel order #1234 before it ships. This is urgent.,CANCEL,cancel_order
Wehre do I post a produtc review? This is urgent.,FEEDBACK,review
i'd like to receive your weekly emails. thanks!,NEWSLETTER,newsletter_subscription
Can you reroute my package to a new address?,SHIPPING_ADDRESS,change_shipping_address
Quick question - what are my payment options at checkout?,PAYMENT,check_payment_methods
Quick question - I'd like to download an invoice,INVOICE,get_invoice
Could you hlep - how do I request a refund?,REFUND,get_refund
Could you help - I need to modify my existing order,ORDER,change_order
I need an invoice for accounting. This is urgent.,INVOICE,get_invoice
The signup form keeps rejecting my email. Please assist.,ACCOUNT,registration_problems
Can you reroute my package to a new address?,SHIPPING_ADDRESS,change_shipping_address
"Good morning, I need to change the shipping address on my order",SHIPPING_ADDRESS,change_shipping_address
"Help, the payment failed but money was deducted!",PAYMENT,payment_issue
"hi, i want to create a new account on your platform",ACCOUNT,create_account
Quick question - I'm getting an error when trying to register,ACCOUNT,registration_problems
"hi, i need a human agent right now",CONTACT,contact_human_agent
it's bene 10 days and no refund yet. thanks!,REFUND,track_refund
Can you tell me the status of order #9001?,ORDER,track_order
"Hey there, I'm getting an error when trying to register",ACCOUNT,registration_problems
When can I expect my package? Please assist.,DELIVERY,delivery_period
What's the typical delivery time to my country?,DELIVERY,delivery_period
"Good morning, how do I edit the delivery address?",SHIPPING_ADDRESS,change_shipping_address
i need an invoice for accounting. thanks!,INVOICE,get_invoice
i need to cancel my order immediately,CANCEL,cancel_order
"I need to reset my password, please help. This is urgent.",ACCOUNT,recover_password
"Locked out of my account, password recovery working!",ACCOUNT,recover_password
I have a question: I'd like to place a new order,ORDER,place_order
"excuse me, i want to switch to a different account",ACCOUNT,switch_account
I was charged twice for the same order! Looking forward to hearing back.,PAYMENT,payment_issue
"Excuse me, I'm still waiting for rfeund, where is it?",REFUND,track_refund
"Excuse me, do you offer money-back guarantees?",REFUND,check_refund_policy
I'd like to share my feedback on a recent purchase,FEEDBACK,review
Could you help - I want to update the quantity in my order,ORDER,change_order
can you email me a pdf invoice for order #5500?,INVOICE,get_invoice
"Hi team, estimated delivery for standard shipping?",DELIVERY,delivery_period
"hi team, where is my order? it hasn't arrived yet",ORDER,track_order
I was charged twice for the same order! Please assist.,PAYMENT,payment_issue
"hey there, how do i subscribe to your newlsetter?",NEWSLETTER,newsletter_subscription
The signup form kepes rejecting my email.,ACCOUNT,registration_problems
Can you tlel me the status of order #9001?,ORDER,track_order
I need to look up an old invoice,INVOICE,check_invoice
"I'm reday to buy, what's next?",ORDER,place_order
How do I order thsi product?,ORDER,place_order
"Hey there, wehre is my order? It hasn't arrived yet",ORDER,track_order
"excuse me, i want to delete my account permanently",ACCOUNT,delete_account
"good morinng, how do i track my shipment?",ORDER,track_order
"could you help - i'm having trouble paying, the page errors out",PAYMENT,payment_issue
The signup form keeps rejecting my eamil. Thanks in advance.,ACCOUNT,registration_problems
Can I unsubscribe from the newsletetr please?,NEWSLETTER,newsletter_subscription
can i set up multiple addresses on my profile? this is urgent.,SHIPPING_ADDRESS,set_up_shipping_address
Can a live representative help me? The chatbot isn't enough.,CONTACT,contact_human_agent
colud you help - how do i request a refund?,REFUND,get_refund
How do I order this product? I'd appreciate a quick reply.,ORDER,place_order
"Hey theer, how can I leave a review for the product I bought?",FEEDBACK,review
tracking number says delivered but i never got it. please assist.,ORDER,track_order
please change the size on my recent order before it ships,ORDER,change_order
want to save a second address for deliveries,SHIPPING_ADDRESS,set_up_shipping_address
"Excuse me, I need my account deleted right away",ACCOUNT,delete_account
"Good morning, which payment methods do you accept?",PAYMENT,check_payment_methods
Can you help me open a customer account?,ACCOUNT,create_account
How can I change my account information?,ACCOUNT,edit_account
Do you take Apple Pay or only credit cards? Looking forward to hearing back.,PAYMENT,check_payment_methods
I need an invoice for accounting. Thanks!,INVOICE,get_invoice
"Ecxuse me, I'm having trouble paying, the page errors out",PAYMENT,payment_issue
"Hey there, I want to get a refund for my purchase",REFUND,get_refund
Can I set up multiple addresses on my profile? Tahnks!,SHIPPING_ADDRESS,set_up_shipping_address
"hi team, i need to cancel my order immediately",CANCEL,cancel_order
"hi, can you help me modify my account settings?",ACCOUNT,edit_account
where can i view my past invoices? cheers.,INVOICE,check_invoice
"Could you help - I want to spaek with a human agent, not a bot",CONTACT,contact_human_agent
"hi team, i'm getting an error when trying to register",ACCOUNT,registration_problems
Where can I view my past invoices? This is urgent.,INVOICE,check_invoice
can i unsubscribe from the newsletter please?,NEWSLETTER,newsletter_subscription
It's been 10 days and no refund yet. Many thanks.,REFUND,track_refund
I watn to save a secnod address for dleiveries,SHIPPING_ADDRESS,set_up_shipping_address
Could you help - what is your refund policy?,REFUND,check_refund_policy
How can I change my account informatoin?,ACCOUNT,edit_account
I have a question: I want to get a refund for my purchase,REFUND,get_refund
"Hi, can you help me modify my account settings?",ACCOUNT,edit_account
Can you show me inovice number 8842?,INVOICE,check_invoice
"Good morning, can you help me my account settings?",ACCOUNT,edit_account
Can I unsubscribe from the newsletter please?,NEWSLETTER,newsletter_subscription
Can you show me invoice number 8842?,INVOICE,check_invoice
Can you check on the status of my refund?,REFUND,track_refund
"hi, i want to write a review of my experience",FEEDBACK,review
What is your customer service phone number?,CONTACT,contact_customer_service
"hi tea,m i need to cancel my order immediately",CANCEL,cancel_order
Can reroute my package to a new address?,SHIPPING_ADDRESS,change_shipping_address
I need to change the shipping address on my order,SHIPPING_ADDRESS,change_shipping_address
"quick question - cancel my order asap, i ordered the wrong item",CANCEL,cancel_order
"Good morning, how do I request a refnud?",REFUND,get_refund
"Hi team, how can I leaev a review for the product I bought?",FEEDBACK,review
i need to modify my existing order,ORDER,change_order
Where can I view my psat invoices?,INVOICE,check_invoice
I have a question: I want to update the quantity in my order,ORDER,change_order
"Hi, estimated delivery for standard shipping?",DELIVERY,delivery_period
Quick question - where is my order? It hasn't arrived yet,ORDER,track_order
"Hi team, I need to look up an old invoice",INVOICE,check_invoice
i'd like to share my feedback on a recent purchase,FEEDBACK,review
"Help, the payment failed but money was deductde!",PAYMENT,payment_issue
"quick question - cancel my order asap, i ordered the wrnog item",CANCEL,cancel_order
"Hell,o is there a supoprt email I can use?",CONTACT,contact_customer_service
"Good morning, I'd like to plaec a new order",ORDER,place_order
How do I order this product? Thanks!,ORDER,place_order
"Hlelo, I want to lodge a complaint about the recent experience",FEEDBACK,complaint
how many days do i have to return an item? looking forward to hearing back.,REFUND,check_refund_policy
"Hi team, how can I leave a review for the product I bought?",FEEDBACK,review
Can you email me a PDF invoice for order #5500?,INVOICE,get_invoice
what's the typical delivery time to my country?,DELIVERY,delivery_period
Where can I view my past invoices?,INVOICE,check_invoice
What is your customer service phone number?,CONTACT,contact_customer_service
"Hello, I'm still waiting for my refund, where is it?",REFUND,track_refund
Can I choose same-day shipping? Looking forward to hearing back.,DELIVERY,delivery_options
Could you help - I want to update the quantity in my order,ORDER,change_order
"Help, the payment failed but money was deducted!",PAYMENT,payment_issue
I need my money back for this defective product!,REFUND,get_refund
tracking number says delivered but i never got it. thanks in advance.,ORDER,track_order
"Hi, I'm trying to find a copy of my invoice",INVOICE,check_invoice
Can I add another item to order #4422? Looking forward to hearing back.,ORDER,change_order
Can you check on status of my refund?,REFUND,track_refund
i want to save a second address for deliveries,SHIPPING_ADDRESS,set_up_shipping_address
"Quick question - I want to speak with a human agent, not a bot",CONTACT,contact_human_agent
i have a question: adding a new address before my nxet order,SHIPPING_ADDRESS,set_up_shipping_address
Can you reroute my package a new address?,SHIPPING_ADDRESS,change_shipping_address
Could you help - how do I edit the delievry address?,SHIPPING_ADDRESS,change_shipping_address
could you help - i want to write a review of my experience,FEEDBACK,review
"Hi team, I want to get a rfeund for my purchase",REFUND,get_refund
"hi team, how do i track my shipment?",ORDER,track_order
Can I pay with PayPal? Is bank transfer an option?,PAYMENT,check_payment_methods
"Excuse me, sign me up for promotional emails",NEWSLETTER,newsletter_subscription
quick quetsion - i want to update the quantity in my order,ORDER,change_order
"i changed my mind, can i cancel my recent purchase?",CANCEL,cancel_order
"Excuse me, I want to speak with a human agent, not a bot",CONTACT,contact_human_agent
I have a question: I need to modify my existing order,ORDER,change_order
i'd like to receive your weekly emails. thakns!,NEWSLETTER,newsletter_subscription
how many days do i have to rteurn an item?,REFUND,check_refund_policy
do you offer express delivery? i'm in a hurry.,DELIVERY,delivery_options
"quick question - i'm still waiting for my refund, wehre is it?",REFUND,track_refund
can you reroute my package to a new address?,SHIPPING_ADDRESS,change_shipping_address
Can you tell me the status of order #9001?,ORDER,track_order
"Good morning, I need a human agent right now",CONTACT,contact_human_agent
Can I pay with PayPal? Is bank transfer an option?,PAYMENT,check_payment_methods
When can I expect my package? Thanks in advance.,DELIVERY,delivery_period
"hey there, i forgot my password and can't log in",ACCOUNT,recover_password
"Hi, I need to use a different user profile",ACCOUNT,switch_account
when can i expect my package? many thakns.,DELIVERY,delivery_period
"Excuse me, I'm having trouble paying, the page errors out",PAYMENT,payment_issue
I was charged twice for the same order! Many thanks.,PAYMENT,payment_issue
Could you help - I'd like to place a new order,ORDER,place_order
"hi team, when will my refund be processed?",REFUND,track_refund
please remove my account from your system. cheers.,ACCOUNT,delete_account
What is your customer service phone number?,CONTACT,contact_customer_service
"Hey there, adding a new address before my next order",SHIPPING_ADDRESS,set_up_shipping_address
Please remoev my account from your system. Looking forward to hearing back.,ACCOUNT,delete_account
"Excuse me, when will my reufnd be processed?",REFUND,track_refund
Can a live representative help me? The chatbot isn't enough.,CONTACT,contact_human_agent
"Hi team, sign me up for promotional emails",NEWSLETTER,newsletter_subscription
"Help, the payment failed but money was deducted!",PAYMENT,payment_issue
Please connect me to a real person. Looking forward to hearing back.,CONTACT,contact_human_agent
"Help, the payment failed but money was deducted!",PAYMENT,payment_issue
your support has been awful and i'm furious about it,FEEDBACK,complaint
i was charged twice for the same order! thanks in advance.,PAYMENT,payment_issue
"hi, please send me the invoice for my recent order",INVOICE,get_invoice
Could you hepl - estimated delivery for standard shipping?,DELIVERY,delivery_period
"hi team, i want to write a review of my expeirence",FEEDBACK,review
I want to save a seocnd address for deliveries,SHIPPING_ADDRESS,set_up_shipping_address
"Hey there, what are my delivery options for this order?",DELIVERY,delivery_options
I want to save a second address for deliveries,SHIPPING_ADDRESS,set_up_shipping_address
Can you show invoice number 8842?,INVOICE,check_invoice
"excuse me, i'm still waiting for my refund, where is it?",REFUND,track_refund
could you hlep - adding a new address before my next order,SHIPPING_ADDRESS,set_up_shipping_address
"Hi, is there a support email I can use?",CONTACT,contact_customer_service
Can you emali me a PDF invoice for order #5500?,INVOICE,get_invoice
Can you help me open a customer account? Cheers.,ACCOUNT,create_account
your support has been awful and i'm fruious about it,FEEDBACK,complaint
"hey there, how do i request a refund?",REFUND,get_refund
"Hey there, I need to modify my existing order",ORDER,change_order
"hi team, cancel my order asap, i ordered the wrogn item",CANCEL,cancel_order
I have a question: how can I leave a review for the product I bought?,FEEDBACK,review
"locked out of my acocunt, password recovery isn't working!",ACCOUNT,recover_password
"Hey there, I forgot my password and can't log in",ACCOUNT,recover_password
Please remove my account form your system. Looking forward to hearing back.,ACCOUNT,delete_account
"hey there, the password reset email never arrived",ACCOUNT,recover_password
Quick question - I need to use a different user profile,ACCOUNT,switch_account
"Excuse me, I need to use a different user profile",ACCOUNT,switch_account
i'd like to edit my personal details. plaese assist.,ACCOUNT,edit_account
What's the typical delivery time to my country?,DELIVERY,delivery_period
"Hello, when will my refund be processed?",REFUND,track_refund
Can you email me a PDF invoice for order #5500?,INVOICE,get_invoice
why can't i create my account? it says invalid input.,ACCOUNT,registration_problems
"excuse me, how do i requset a refund?",REFUND,get_refund
"This is unacceptable, I want to file a formal complaint! This is urgent.",FEEDBACK,complaint
How do I order this product? Looking forward to hearing back.,ORDER,place_order
"good morning, can you help me complete my purchase?",ORDER,place_order
I have a question: what is your refund policy?,REFUND,check_refund_policy
"Hello, how do I edit the delivery address?",SHIPPING_ADDRESS,change_shipping_address
"hey theer, i want to delete my account permanently",ACCOUNT,delete_account
"I'd like to register, what's the process? Many thnaks.",ACCOUNT,create_account
"Hi team, I'm extremely unhappy with the service",FEEDBACK,complaint
can you show me invoice number 8842?,INVOICE,check_invoice
"Locked out of my account, password recovery isn't working!",ACCOUNT,recover_password
Please remove my account from your system. Tahnks in advance.,ACCOUNT,delete_account
"This is unaccetpable, I want to file a formal complaint! Please assist.",FEEDBACK,complaint
The signup form keeps rejecting my email. Thanks in advance.,ACCOUNT,registration_problems
Can you tell me the status of ordre #9001?,ORDER,track_order
"Hey there, can you help me complete my purchase?",ORDER,place_order
How do I close my account? I no longer want to use the service.,ACCOUNT,delete_account
quick question - what shipping methods are available?,DELIVERY,delivery_options
"Hi team, what are my payment options at cehckout?",PAYMENT,check_payment_methods
Do you offer express delivery? I'm in a hurry.,DELIVERY,delivery_options
I was charged twice for the same order! Thanks!,PAYMENT,payment_issue
I need an invoice for accounting. Cheers.,INVOICE,get_invoice
how do I subscribe to your newsletter?,NEWSLETTER,newsletter_subscription
my payment was declined but my card is fine,PAYMENT,payment_issue
is there a support email I use?,CONTACT,contact_customer_service
"Excuse me, I need to use a different uesr profile",ACCOUNT,switch_account
"good morning, i want to get a for my purchase",REFUND,get_refund
Why can't I create my account? It says invalid input.,ACCOUNT,registration_problems
I want to switch to a different account,ACCOUNT,switch_account
your support has been awful and i'm furious about it,FEEDBACK,complaint
i need to update the email on my profile,ACCOUNT,edit_account
Can I set up multiple addresses on my profile? Cheers.,SHIPPING_ADDRESS,set_up_shipping_address
Can you help me open a customer account? Plesae assist.,ACCOUNT,create_account
i need an invoice for accounting. please assist.,INVOICE,get_invoice
"Hi team, what is your refund policy?",REFUND,check_refund_policy
How do I log into a account?,ACCOUNT,switch_account
How do I order this product? Cheers.,ORDER,place_order
"hey there, i want to create a new account on your platform",ACCOUNT,create_account
"Hey there, I'm still waiting for my refund, where is it?",REFUND,track_refund
"i want to speak with a human agent, not a bot",CONTACT,contact_human_agent
Quick question - I need to change the shipping address on my order,SHIPPING_ADDRESS,change_shipping_address
