instruction,category,intent,urgency
"hi, i want to write a review of my experience",FEEDBACK,review,low
Tracking number says delivered but I never got it. Thanks in advance.,ORDER,track_order,medium
"Hi, how do I subscribe to your newslettre?",NEWSLETTER,newsletter_subscription,low
"Hello, can you help me modify my account settings?",ACCOUNT,edit_account,low
The signup form keeps rejecting my email. Many thanks.,ACCOUNT,registration_problems,low
Please connect me to a real person. Looking forward to hearing back.,CONTACT,contact_human_agent,low
"Hello, how can I sign up for an account?",ACCOUNT,create_account,low
I need an invoice for accounting.,INVOICE,get_invoice,medium
"Hi, my payment was declined but my card is fine",PAYMENT,payment_issue,high
what are my delivery options for this order?,DELIVERY,delivery_options,medium
i have a question: i want to wrtie a review of my experience,FEEDBACK,review,low
I want to write a review of my experience,FEEDBACK,review,low
Can I pay with PayPal? Is bank transfer an option?,PAYMENT,check_payment_methods,medium
How do I order this product? Thanks!,ORDER,place_order,medium
"hey there, is a support email i can use?",CONTACT,contact_customer_service,low
I'd like to edit my personal details. This is urgent.,ACCOUNT,edit_account,low
i need my money back for this product!,REFUND,get_refund,high
"Hey there, I'd like to download an invoice",INVOICE,get_invoice,medium
"worng address on my order, please update it! pleaes assist.",SHIPPING_ADDRESS,change_shipping_address,medium
"Could you hlep - I'm having trouble paying, the page errors out",PAYMENT,payment_issue,high
where do i post a product review? many thanks.,FEEDBACK,review,low
how do i order this product?,ORDER,place_order,medium
i have a question: how can i sign up for an account?,ACCOUNT,create_account,low
how do I edit the delivery address?,SHIPPING_ADDRESS,change_shipping_address,medium
I have a question: how can I leave a review for the product I bought?,FEEDBACK,review,low
Could you help - I need to modify my existing order,ORDER,change_order,medium
"wrong address on my order, please update it! i'd appreciate a quick reply.",SHIPPING_ADDRESS,change_shipping_address,medium
"hi, cancel my order asap, ordered the wrong item",CANCEL,cancel_order,high
"Hi team, I want to lodge a complaint abuot the recent experience",FEEDBACK,complaint,high
i have a question: how do i edit the delivery address?,SHIPPING_ADDRESS,change_shipping_address,medium
"Hi team, the password reset email never arrived",ACCOUNT,recover_password,high
How do I log into a secondary account?,ACCOUNT,switch_account,low
How do I close my account? I no longer want to use the service.,ACCOUNT,delete_account,high
"Excuse me, I'm having trouble paying, the page errors out",PAYMENT,payment_issue,high
how many days do i have to return an item? cheers.,REFUND,check_refund_policy,high
please cancel order #1234 before it ships. i'd appreciate a quick reply.,CANCEL,cancel_order,high
"Hey there, what are my payment options at checkout?",PAYMENT,check_payment_methods,medium
"Hi, is there a support emali I can use?",CONTACT,contact_customer_service,low
"hello, i want to update the quantity in my order",ORDER,change_order,medium
Can I unsubscribe from the newsletter please?,NEWSLETTER,newsletter_subscription,low
can a live representative help me? the chatbot isn't enough.,CONTACT,contact_human_agent,low
I have a question: when will my refund be processed?,REFUND,track_refund,high
"hey there, i wnat to delete my account permanently",ACCOUNT,delete_account,high
I need to talk to someone abotu my order. Thanks!,CONTACT,contact_customer_service,low
"hello, i want to write a review of my experience",FEEDBACK,review,low
tracking number says delivered but i never got it. cheers.,ORDER,track_order,medium
"Good morning, estimated delivery for standard shipping?",DELIVERY,delivery_period,medium
What's the tpyical delivery time to my country?,DELIVERY,delivery_period,medium
"quick question - cancel my order asap, i ordered the wrnog item",CANCEL,cancel_order,high
the typical delivery time to my country?,DELIVERY,delivery_period,medium
Can I get a full refund if I'm not,REFUND,check_refund_policy,high
What's the typical delievry time to my country?,DELIVERY,delivery_period,medium
"Excuse me, I need to use a different user profile",ACCOUNT,switch_account,low
"quick question - i want to spaek with a human agent, not a bot",CONTACT,contact_human_agent,low
The singup form keeps rejecting my email. Please assist.,ACCOUNT,registration_problems,low
"hey there, i want to speka with a human agent, not a bot",CONTACT,contact_human_agent,low
How do I log into a secondary account?,ACCOUNT,switch_account,low
I was charged twice for the same order! Please assist.,PAYMENT,payment_issue,high
"hello, i need a human agent right now",CONTACT,contact_human_agent,low
Quick question - I need to update the email on my profile,ACCOUNT,edit_account,low
can you email me a pdf invoice for order #5500?,INVOICE,get_invoice,medium
Can you email me a PDF invoice for order #5500?,INVOICE,get_invoice,medium
"Good morning, I want to switch to a different account",ACCOUNT,switch_account,low
"Hi, I'm trying to find a copy of my invoice",INVOICE,check_invoice,medium
"Locked out of my account, password recovery working!",ACCOUNT,recover_password,high
i need to update the email on my profile,ACCOUNT,edit_account,low
can i add another item to order #4422? i'd appreciate a quikc reply.,ORDER,change_order,medium
"Hey there, I want to delete my account permanently",ACCOUNT,delete_account,high
"Hello, I'm getting an error when trying to register",ACCOUNT,registration_problems,low
quick question - how do i track my shipment?,ORDER,track_order,medium
Can I unsubscribe from the newsletter please?,NEWSLETTER,newsletter_subscription,low
"I need to reset my password, please",ACCOUNT,recover_password,high
I have a question: how can I leave a rveiew for the product I bought?,FEEDBACK,review,low
I need to modify my existing order,ORDER,change_order,medium
can you reroute my package to a new address?,SHIPPING_ADDRESS,change_shipping_address,medium
I need an invoice for accounting.,INVOICE,get_invoice,medium
can you email me a pdf invoice for order #5500?,INVOICE,get_invoice,medium
Please change the size on my recent order before it ships,ORDER,change_order,medium
Can you tell me the status of order #9001?,ORDER,track_order,medium
i'd like to share my feedback on a recent purchase,FEEDBACK,review,low
"Hey there, what are my delivery options for this orde?r",DELIVERY,delivery_options,medium
can you help me modify my account settings?,ACCOUNT,edit_account,low
"excuse me, i need to cancel my order immediately",CANCEL,cancel_order,high
"hello, when will my refund be processed?",REFUND,track_refund,high
I need an invoice for accounting. This is urgent.,INVOICE,get_invoice,medium
please remove my account from your system. cheers.,ACCOUNT,delete_account,high
i'd like to receive your weekly emails.,NEWSLETTER,newsletter_subscription,low
"wrong address on my odrer, please update it! thanks!",SHIPPING_ADDRESS,change_shipping_address,medium
could you help - i need to look up an old invoice,INVOICE,check_invoice,medium
a live representative help me? The chatbot isn't enough.,CONTACT,contact_human_agent,low
"Excuse me, I need a human agent right now",CONTACT,contact_human_agent,low
"Hello, I'd like to download an invoice",INVOICE,get_invoice,medium
"Hey there, please send me the invoice for my recent order",INVOICE,get_invoice,medium
sign me up for promotional emails,NEWSLETTER,newsletter_subscription,low
Can I set up multiple addresses on my profile? Cheers.,SHIPPING_ADDRESS,set_up_shipping_address,medium
where do i post a product review? this is urgent.,FEEDBACK,review,low
Quick question - how do I edit the delivery address?,SHIPPING_ADDRESS,change_shipping_address,medium
"hi, what are my payment options at checkout?",PAYMENT,check_payment_methods,medium
where do i pots a product review? cheers.,FEEDBACK,review,low
"morning, what is your refund policy?",REFUND,check_refund_policy,high
It's been 10 days and no refund yet. Thakns in advance.,REFUND,track_refund,high
can you tell me the status of order #9001?,ORDER,track_order,medium
"Excuse me, I'm still waiting for my refund, where is it?",REFUND,track_refund,high
could you help - what is your refund policy?,REFUND,check_refund_policy,high
"I'm still waiting for my refund, where is it?",REFUND,track_refund,high
Please cancel order #1234 before it ships. I'd appreciate a quick reply.,CANCEL,cancel_order,high
can you email me a pdf invoice for order,INVOICE,get_invoice,medium
"Excuse me, the password reset email never arrived",ACCOUNT,recover_password,high
how do I contact your support team?,CONTACT,contact_customer_service,low
"Hell,o what shipping methods are available?",DELIVERY,delivery_options,medium
"Hi, can you help me modify my account settings?",ACCOUNT,edit_account,low
I'd like to share my feedback on a recent purchase,FEEDBACK,review,low
Quick question - what are my delivery options for this order?,DELIVERY,delivery_options,medium
i need to talk to someone about my order. cheers.,CONTACT,contact_customer_service,low
"Hi team, which payment methods do you accept?",PAYMENT,check_payment_methods,medium
Wheer can I view my past invoices? Thanks in advance.,INVOICE,check_invoice,medium
quick question - i want to wrtie a review of my experinece,FEEDBACK,review,low
can a live representative help me? the chatbot isn't enough.,CONTACT,contact_human_agent,low
"hey there, how do i request a refund?",REFUND,get_refund,high
I'd like to edit my personal details. Thanks!,ACCOUNT,edit_account,low
Do you take Apple Pay or only credit crads? I'd appreciate a quick reply.,PAYMENT,check_payment_methods,medium
What's the typical delivery time to my country?,DELIVERY,delivery_period,medium
What's the typical delivery time to my country?,DELIVERY,delivery_period,medium
I'd like to receive your weekly emails.,NEWSLETTER,newsletter_subscription,low
"is unacceptable, i want to file a formal copmlaint! thanks!",FEEDBACK,complaint,high
"hey there, what are my delivery options for this order?",DELIVERY,delivery_options,medium
Where do I post a product review? Looking forward to hearing back.,FEEDBACK,review,low
"Hi team, I need to modify my exsiting oredr",ORDER,change_order,medium
i'd like to edit my personal details.,ACCOUNT,edit_account,low
could you help - what are my payment opitons at checkout?,PAYMENT,check_payment_methods,medium
"Hello, I want to craete a new account on your platform",ACCOUNT,create_account,low
I was charged twice for the same order! Thanks in advance.,PAYMENT,payment_issue,high
"Hello, sign me up for promotional emails",NEWSLETTER,newsletter_subscription,low
Can I get a full refund if I'm not satisfied?,REFUND,check_refund_policy,high
"locked out of my account, passwodr recvoery isn't working!",ACCOUNT,recover_password,high
"Hello, I need a human agent right now",CONTACT,contact_human_agent,low
"hey there, i need to look up an old invoice",INVOICE,check_invoice,medium
How do I order this product?,ORDER,place_order,medium
I have a question: sign me up for promotional emails,NEWSLETTER,newsletter_subscription,low
"Good morning, estimated delivery for standard shipping?",DELIVERY,delivery_period,medium
"excuse me, i forgot my password and can't log in",ACCOUNT,recover_password,high
Please change the size on my recent order before it ships,ORDER,change_order,medium
"Excuse me, how can I sign up for an account?",ACCOUNT,create_account,low
Quick question - how do I edit the delivery address?,SHIPPING_ADDRESS,change_shipping_address,medium
Yuor support has been awful and I'm furious about it,FEEDBACK,complaint,high
"Hi team, how do I request a refund?",REFUND,get_refund,high
"Hi team, I'm still waiting for my refund, where is it?",REFUND,track_refund,high
Can you show me invoice numbre 8842?,INVOICE,check_invoice,medium
"Excuse me, sign me up for promotional emails",NEWSLETTER,newsletter_subscription,low
"Hi team, can you help me modify my account settings?",ACCOUNT,edit_account,low
Do you offer express delivery? I'm in a hurry.,DELIVERY,delivery_options,medium
"hi team, i want to update the quantity in my order",ORDER,change_order,medium
"hi, i want to write a review of my experience",FEEDBACK,review,low
"I'm ready to buy, what's next?",ORDER,place_order,medium
Quick question - I forgot my password and can't log in,ACCOUNT,recover_password,high
Could you help - I need to look up an old invoice,INVOICE,check_invoice,medium
"Hello, can you help me complete my purchase?",ORDER,place_order,medium
"I'd like to register, what's the proecss? Please assist.",ACCOUNT,create_account,low
i was charged twiec for the same order!,PAYMENT,payment_issue,high
"Hi, how do I edit the delivery address?",SHIPPING_ADDRESS,change_shipping_address,medium
quick question sign me up for promotional emails,NEWSLETTER,newsletter_subscription,low
Where do I post a product review? Cheers.,FEEDBACK,review,low
please cancel order #1234 before it ships. i'd appreciate a quick reply.,CANCEL,cancel_order,high
"Hi team, I need to look up an old invoice",INVOICE,check_invoice,medium
what are my delivery options for this order?,DELIVERY,delivery_options,medium
I need my money back for this defective product!,REFUND,get_refund,high
"Hello, can you help me modify my account settings?",ACCOUNT,edit_account,low
"Good morning, I want to get a refund for my purchase",REFUND,get_refund,high
do you offer express delivery? i'm in a hurry.,DELIVERY,delivery_options,medium
"Good morning, I'm haivng trouble paying, the page errors out",PAYMENT,payment_issue,high
"Hi, how do I contact your support team?",CONTACT,contact_customer_service,low
Why can't I create my accoutn? It says invalid input.,ACCOUNT,registration_problems,low
i'm extremely unhappy with the service,FEEDBACK,complaint,high
Can I add another item to order #4242?,ORDER,change_order,medium
Do you take Apple Pay or only credit cards? Thanks!,PAYMENT,check_payment_methods,medium
Can you help me open a customer account? Looking forward to hearing back.,ACCOUNT,create_account,low
why can't i create my account? it says invalid input.,ACCOUNT,registration_problems,low
Please remove my account from your system. Tahnks in advance.,ACCOUNT,delete_account,high
Please cancel order #1234 before it ships. Thanks in advance.,CANCEL,cancel_order,high
The signup form rejecting my emai.l Thanks!,ACCOUNT,registration_problems,low
which payment methods do you accep?t,PAYMENT,check_payment_methods,medium
can i pay with paypal? is bank transfer an option?,PAYMENT,check_payment_methods,medium
I need my money back for this defective product!,REFUND,get_refund,high
Do you take Apple Pay or only credit cards? Thanks!,PAYMENT,check_payment_methods,medium
Can I add another item to order #4422?,ORDER,change_order,medium
"Excuse me, I want to write a review of my experience",FEEDBACK,review,low
"Please refund order #3300, the item arrived broken. Thanks!",REFUND,get_refund,high
Quick question - how do I contact your support,CONTACT,contact_customer_service,low
"Hey there, is there a support email I can use?",CONTACT,contact_customer_service,low
i'd like to receive your weekly emails. looking forward to hearing back.,NEWSLETTER,newsletter_subscription,low
Your support has been awful and I'm furoius about it,FEEDBACK,complaint,high
can i have two accounts and switch between them? please assist.,ACCOUNT,switch_account,low
Quick question - what shipping methods are available?,DELIVERY,delivery_options,medium
"Hello, is three a support email I can use?",CONTACT,contact_customer_service,low
how do I add a new shipping address to my account?,SHIPPING_ADDRESS,set_up_shipping_address,medium
i my money back for thsi defective product!,REFUND,get_refund,high
"hi team, i want to lodge a complaint about the recent experience",FEEDBACK,complaint,high
Quick question - will my refund be processed?,REFUND,track_refund,high
"This is unacceptable, I want to file a formal complaint! Please assist.",FEEDBACK,complaint,high
Can you email me a PDF invoice for order #5050?,INVOICE,get_invoice,medium
Quick question - I want to update the quantity in my order,ORDER,change_order,medium
how can i change my account information?,ACCOUNT,edit_account,low
Can I set up multiple addersses on my profile? Cheers.,SHIPPING_ADDRESS,set_up_shipping_address,medium
"Hey there, I want to get a refund for my purchase",REFUND,get_refund,high
"Please refund order #3300, the item arrived broken. Thanks!",REFUND,get_refund,high
"Hi team, what shippnig methods are available?",DELIVERY,delivery_options,medium
Can I add another item to odrer #4422? This is urgent.,ORDER,change_order,medium
i need to talk to someone about my order. please assist.,CONTACT,contact_customer_service,low
Can a live representative help me? The chatbot isn't enough.,CONTACT,contact_human_agent,low
I have a question: what is your refund policy?,REFUND,check_refund_policy,high
could you hepl - i want to switch to a different account,ACCOUNT,switch_account,low
How do I order this,ORDER,place_order,medium
Could you help - I want to lodge a complaint about the recent experience,FEEDBACK,complaint,high
"morning, I want to get a refund for my purcahse",REFUND,get_refund,high
could you hlep - adding a new address before my next order,SHIPPING_ADDRESS,set_up_shipping_address,medium
"hey there, can you help me complete my purchase?",ORDER,place_order,medium
"Hello, is there a support email I can use?",CONTACT,contact_customer_service,low
Can I unsubscribe from the newsletter please?,NEWSLETTER,newsletter_subscription,low
When can I expect my package?,DELIVERY,delivery_period,medium
"Hello, I'd like to place a new order",ORDER,place_order,medium
Can you email me a PDF invoice for order #5500?,INVOICE,get_invoice,medium
"Hey there, can you help me copmlete my purchase?",ORDER,place_order,medium
"Good morning, how can I sign up for an account?",ACCOUNT,create_account,low
"Please refund order #3300, the item arrived brokne. Cheers.",REFUND,get_refund,high
where can i view my past invoices?,INVOICE,check_invoice,medium
Wehre can I view my past invoices? Thanks in advance.,INVOICE,check_invoice,medium
Where do I post a product review? Looking forward to hearing bakc.,FEEDBACK,review,low
what is your customer service phone number?,CONTACT,contact_customer_service,low
"Hello, how long will my order take to arrive?",DELIVERY,delivery_period,medium
